label,tweet_id,user_id,text
Neutral,773692075699306496,725302089048453124,"RT @CNN: Singer Stevie Nicks is backing Hillary Clinton, predicting a ""landslide"" in November https://t.co/JE4KdZjzci https://t.co/TZkHCD69…"
Negative,786581360672735232,753594430330900481,"RT @Italians4Trump: Hillary Supporters Attack ’Bill Clinton is A Rapist’ Protester
 https://t.co/Oa4odrBFW8"
Positive,775873669725843456,1452015206,"RT @HillaryClinton: How pay-to-play works:

1. Trump faces possible investigation
2. Trump gives $$ to AG
3. Investigation never happens ht…"
Positive,757926635404300292,550488178,one thing i know for sure is that Leslie Knope would be all for Hillary Clinton and she has never steered me wrong.
Positive,742758704165093376,2910845500,"RT @HillaryClinton: Trump's rhetoric is shameful.

It was one thing when he was a reality TV personality. It’s another when he’s running fo…"
Positive,780795991087681536,151318625,"RT @EricJafMN: @realDonaldTrump Why did you call her ""Secretary Clinton"" during the debate but ""Crooked Hillary"" on Twitter?"
Negative,786633642223304705,20942763,"Hillary Clinton campaign WikiLeaks emails reveal disdain for Catholics, Southerners, ‘needy Latinos’ - https://t.co/dL9lqCpDKL - @washtimes"
Positive,769943445930663936,335091935,"RT @HillaryClinton: 53 years ago, Dr. King told us his dream. Today, let's recommit ourselves to the march toward equality for all. https:/…"
Positive,796066267031543809,853264688,RT @HillaryClinton: Delete your account. https://t.co/Oa92sncRQY
Positive,795642580495192064,18392898,"RT @chintskap: POTUS. Go,Hillary Clinton!!! Please elect her as your new President if you want peace,stability and harmony. Donald… "
Negative,730040061073494017,2176980906,#HillaryClinton Is Under Investigation By The FBI For More Than E-Mail https://t.co/UbHe4mmibY #WVPrimary #KYPrimary #StillSanders
Negative,769427328275517440,1009228740,RT @Darren32895836: Trump's Doctor Carson/BEST FRIEND says Hillary Clinton &amp; Obama have done NOTHING 4inner cities over last 4 decades! htt…
Negative,782235012233961474,2871435374,"Wow bins found with Clinton votes, how many more other storages are there #Pennsylvania #newjersey #Virginia… https://t.co/1XfufM13Sp"
Positive,791266879717335040,134601375,RT @peaceisactive: LeBron James: Why I'm Endorsing Hillary Clinton For President #ThanksLeBron #ImWithHer #UniteBlue https://t.co/ARFUxkoeqL
Neutral,742436413166264320,25589776,Hillary Clinton promises tougher gun laws in speech after Orlando shooting https://t.co/5ByPy57x0I https://t.co/qhkG0qEfUL
Negative,747493143336058880,82144210,Why are we waiting @DarrellIssa? There Is Enough Evidence to Indict Hillary Clinton https://t.co/g48jYz36KH #EmailGate
Negative,784587129452171265,715362236,"RT @RavenHUWolf: #Canada's envolvement: #Hillary took money for #Keystone #pipelineXL, over $1 Million, from #Canadian #Bank
⬇️ #cpc… "
Negative,770814986515906560,2847402609,@MonicaCrowley @realDonaldTrump Hillary wanted to meet with him too but he was unable to meet the Clinton foundation minimum contribution
Positive,775123553767268356,21024653,RT @mmfa: Paul Waldman highlights double standard: “Hillary Clinton gets examined in a very different way than Trump does” https://t.co/hbI…
Neutral,717361566983651328,2829978162,"RT @theblaze: Planned Parenthood staffer slams Hillary Clinton for referring to fetus as an ""unborn child"" https://t.co/yfWA0MePwi"
Negative,771552421919064064,269854728,FBI found extensive evidence Hillary emails violated federal records laws https://t.co/NKdj9FmTyB
Negative,774458271700815872,2226814305,Sounds to me like Hillary is describing herself vote trump  https://t.co/ScSlkXLyCz
Positive,759103009108484097,3082157129,RT @MariSchaefer: Balloons! Hillary Clinton #DemsInPhilly #DNC https://t.co/GIbKbpiDy6
Negative,795985846285504512,900422131,"RT @marklevinshow: Hillary Clinton, extremist and corrupt https://t.co/Mjsmv5Eiib"
